S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,depreciation_rate,car_age
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996 CC,362.07 bhp,2.0,9504000.0,54.0,99.99943181818182,8
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591 CC,121.3 bhp,5.0,1349000.0,11.5,99.99914751667902,6
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995 CC,190 bhp,5.0,6088000.0,26.5,99.99956471747701,11
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,739000.0,6.5,99.9991204330176,6
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,6947000.0,33.5,99.9995177774579,11
187,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197 CC,83.1 bhp,5.0,877999.9999999999,7.5,99.99914578587699,8
193,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1274000.0,8.5,99.9993328100471,9
200,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493 CC,100 bhp,7.0,1052000.0,6.5,99.99938212927756,8
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1198000.0,9.0,99.9992487479132,9
210,Honda Amaze S Diesel,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498 CC,98.6 bhp,5.0,853999.9999999999,3.25,99.99961943793912,12
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798 CC,177.46 bhp,5.0,3358000.0,26.0,99.99922572960095,8
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461 CC,65 bhp,5.0,911999.9999999999,3.7,99.99959429824563,12
225,Maruti Wagon R VXI,Kolkata,2013,32000,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,529000.0,2.65,99.9994990548204,12
228,Mini Cooper Convertible S,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998 CC,189.08 bhp,4.0,4428000.0,35.67,99.99919444444446,8
235,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2073999.9999999998,19.64,99.99905303760849,6
237,Honda City i-VTEC V,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497 CC,117.3 bhp,5.0,1174000.0,3.87,99.99967035775127,14
256,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2552000.0,18.65,99.99926920062696,8
261,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582 CC,126.2 bhp,5.0,1407000.0,2.6,99.99981520966595,17
264,Mercedes-Benz GLE 350d,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9513000.0,61.29,99.99935572374646,8
277,Tata Zest Quadrajet 1.3 75PS XE,Pune,2017,121900,Diesel,Manual,First,22.95,1248 CC,74 bhp,5.0,834000.0,3.75,99.99955035971223,8
290,Tata Zest Quadrajet 1.3 75PS XE,Pune,2018,45000,Diesel,Manual,First,22.95,1248 CC,74 bhp,5.0,834000.0,5.25,99.99937050359712,7
293,Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2,1199 CC,88.7 bhp,5.0,885000.0,4.85,99.99945197740114,10
298,Toyota Innova Crysta 2.4 ZX MT,Chennai,2016,48000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2540000.0,20.25,99.99920275590551,9
303,Honda City i-VTEC CVT ZX,Mumbai,2017,15000,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1667000.0000000002,12.69,99.99923875224955,8
310,Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143 CC,201.15 bhp,5.0,7943000.000000001,57.0,99.99928238700743,8
314,Honda Brio 1.2 VX MT,Kochi,2012,91931,Petrol,Manual,First,18.5,1198 CC,86.8 bhp,5.0,662000.0,3.13,99.99952719033233,13
343,Maruti Vitara Brezza LDi,Chennai,2016,45000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,911999.9999999999,7.15,99.99921600877192,9
348,BMW 3 Series Luxury Line,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995 CC,190 bhp,5.0,5867000.0,25.99,99.99955701380603,10
351,Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984 CC,227 bhp,5.0,2837000.0,2.05,99.99992774057104,20
352,Maruti Alto K10 VXI,Pune,2017,30000,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,448000.00000000006,3.75,99.99916294642858,8
355,Jaguar XF 2.0 Diesel Portfolio,Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999 CC,177 bhp,5.0,7264000.0,52.0,99.99928414096915,8
357,Skoda Superb L&K 1.8 TSI AT,Kochi,2019,13747,Petrol,Automatic,First,14.67,1798 CC,177.46 bhp,5.0,3615000.0,27.3,99.99924481327801,6
365,Mini Clubman Cooper S,Pune,2017,8350,Petrol,Manual,First,13.8,1998 CC,192 bhp,5.0,4459000.0,35.0,99.99921507064364,8
372,Maruti Vitara Brezza ZDi Plus,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1200000.0,9.49,99.99920916666667,8
380,Honda BRV i-VTEC V CVT,Kochi,2017,35676,Petrol,Automatic,First,16.0,1497 CC,117.3 bhp,7.0,1465000.0,9.48,99.9993529010239,8
389,Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999 CC,246.74 bhp,5.0,5372000.0,34.5,99.99935778108711,8
401,Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,Hyderabad,2018,12000,Diesel,Automatic,First,13.5,2477 CC,175.56 bhp,7.0,3390999.9999999995,28.0,99.99917428487171,7
413,BMW 3 Series Luxury Line,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995 CC,190 bhp,5.0,6088000.0,25.5,99.99958114323259,10
414,Honda BR-V i-VTEC S MT,Pune,2017,9000,Petrol,Manual,First,15.4,1497 CC,117.3 bhp,7.0,1251000.0,8.5,99.99932054356515,8
417,Hyundai i20 Active SX Petrol,Jaipur,2017,40250,Petrol,Manual,First,17.19,1197 CC,81.86 bhp,5.0,974000.0,6.9,99.99929158110884,8
418,Mercedes-Benz GLC 43 AMG Coupe,Coimbatore,2018,22397,Petrol,Automatic,First,11.5,2996 CC,367 bhp,5.0,9538000.0,70.99,99.99925571398616,7
423,Audi A6 35 TFSI Matrix,Mumbai,2016,47000,Petrol,Automatic,First,15.26,1798 CC,187.74 bhp,5.0,6059000.0,24.5,99.99959564284535,9
427,Mini Cooper Convertible S,Mumbai,2014,11900,Petrol,Automatic,First,16.82,1998 CC,189.08 bhp,4.0,4428000.0,28.5,99.99935636856368,11
442,Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.96,2523 CC,62.1 bhp,7.0,1128000.0,7.7,99.99931737588653,9
446,Volkswagen Vento 1.6 Comfortline,Mumbai,2017,15000,Petrol,Manual,Second,16.09,1598 CC,103.5 bhp,5.0,1148000.0,7.1,99.99938153310104,8
456,Maruti S-Cross Delta DDiS 200 SH,Delhi,2018,12923,Diesel,Manual,First,25.1,1248 CC,88.5 bhp,5.0,1126000.0,8.92,99.99920781527531,7
457,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968 CC,181 bhp,5.0,4365000.0,20.37,99.99953333333333,9
458,BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995 CC,190 bhp,5.0,6207000.0,36.5,99.9994119542452,9
473,Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950 CC,191.34 bhp,5.0,8697000.0,51.43,99.99940864665977,7
518,Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,474000.0,3.3,99.99930379746836,13
519,Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8,1591 CC,121.3 bhp,5.0,1484000.0,8.0,99.99946091644205,9
544,Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950 CC,181.43 bhp,5.0,4949000.0,38.99,99.99921216407355,6
549,BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995 CC,190 bhp,5.0,4818000.0,29.4,99.9993897882939,8
555,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47,1248 CC,88.50 bhp,7.0,1234000.0,6.75,99.99945299837925,12
558,Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498 CC,108.4 bhp,5.0,1538000.0,10.5,99.99931729518856,8
562,Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,1921000.0,17.0,99.99911504424779,9
568,Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,2295000.0,19.0,99.99917211328976,7
573,Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523 CC,62.1 bhp,7.0,1115000.0,6.0,99.99946188340807,13
578,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498 CC,88 bhp,5.0,1032000.0,8.12,99.99921317829458,7
599,Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2805000.0,24.82,99.99911515151516,6
603,Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143 CC,170 bhp,5.0,5977000.0,48.5,99.99918855613184,7
604,Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498 CC,108.5 bhp,5.0,1586000.0,9.45,99.99940416141236,9
615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,8.0,1943000.0,17.5,99.99909933093156,8
618,Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1065000.0,8.9,99.99916431924883,9
632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,5.0,4212000.0,29.5,99.99929962013296,9
635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179 CC,154 bhp,7.0,1695000.0,11.25,99.99933628318584,8
636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9,1498 CC,98.6 bhp,7.0,1545000.0,10.79,99.99930161812297,8
639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197 CC,81.80 bhp,5.0,787000.0,5.7,99.99927573062263,8
654,Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,470000.0,2.75,99.99941489361703,14
657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497 CC,117.3 bhp,7.0,1502000.0,9.25,99.99938415446073,8
668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1256000.0,11.31,99.999099522293,8
671,Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498 CC,99.6 bhp,5.0,1133000.0,5.43,99.99952074139453,12
697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2645000.0,18.75,99.9992911153119,8
714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197 CC,81.80 bhp,5.0,1034000.0,8.5,99.99917794970986,8
731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186 CC,73.97 bhp,5.0,746000.0,4.9,99.99934316353887,8
732,Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497 CC,117.3 bhp,5.0,1185000.0,5.7,99.99951898734177,11
741,Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1041000.0,7.75,99.99925552353506,8
742,Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998 CC,67.04 bhp,5.0,557000.0,3.2,99.99942549371634,11
746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496 CC,113.98 bhp,5.0,4248000.0,23.5,99.99944679849341,11
750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1604000.0,10.65,99.99933603491272,10
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199 CC,88.7 bhp,5.0,910000.0,8.46,99.99907032967033,7
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498 CC,99 bhp,5.0,765000.0,2.5,99.99967320261437,10
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591 CC,121.3 bhp,5.0,1374000.0,10.9,99.99920669577875,9
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,572000.0,4.32,99.99924475524476,10
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179 CC,155 bhp,7.0,2133000.0,17.63,99.99917346460386,6
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143 CC,201.15 bhp,5.0,7876000.000000001,56.0,99.99928897917725,9
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498 CC,98.6 bhp,5.0,1034000.0,8.5,99.99917794970986,7
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,429000.0,2.3,99.99946386946387,11
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498 CC,108.62 bhp,5.0,1003999.9999999999,6.45,99.99935756972113,8
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179 CC,118.3 bhp,7.0,1167000.0,7.5,99.99935732647815,9
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2552000.0,18.6,99.99927115987461,8
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186 CC,73.97 bhp,5.0,856000.0,5.9,99.99931074766354,7
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2700000.0,19.92,99.99926222222223,7
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999 CC,67 bhp,5.0,478000.0,3.25,99.99932008368201,8
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998 CC,67.04 bhp,5.0,614000.0,5.0,99.99918566775244,8
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197 CC,81.80 bhp,5.0,730000.0,2.7,99.99963013698631,14
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799 CC,53.64 bhp,5.0,437000.0,2.66,99.99939130434782,9
912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,498000.00000000006,3.61,99.9992751004016,13
919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1529000.0,8.65,99.9994342707652,10
940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956 CC,170 bhp,5.0,2426000.0,20.0,99.99917559769167,8
941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999 CC,177 bhp,5.0,7512000.0,59.72,99.99920500532482,7
942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248 CC,74 bhp,5.0,952999.9999999999,6.5,99.99931794333683,9
946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477 CC,175.56 bhp,7.0,3460000.0,12.49,99.99963901734104,12
952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2645000.0,18.39,99.99930472589791,7
954,Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498 CC,98.6 bhp,5.0,1115000.0,6.21,99.99944304932735,9
962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950 CC,194 bhp,5.0,5226000.0,39.5,99.9992441637964,7
984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,7043000.000000001,17.5,99.99975152633822,13
1001,Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799 CC,53.3 bhp,5.0,480000.0,4.45,99.99907291666666,7
1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1212000.0,11.65,99.99903877887789,6
1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,1937000.0,16.5,99.99914816726897,8
1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498 CC,108.5 bhp,5.0,1214000.0,5.39,99.99955601317959,11
1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755 CC,174.5 bhp,7.0,3669000.0,13.28,99.99963804851458,12
1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368 CC,160 bhp,5.0,2368000.0,17.75,99.9992504222973,8
1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968 CC,187.74 bhp,5.0,5561000.0,25.0,99.99955044056824,10
1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497 CC,121.36 bhp,5.0,1410000.0,12.41,99.99911985815604,7
1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248 CC,88.5 bhp,5.0,1326000.0,7.94,99.9994012066365,9
1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2805000.0,20.5,99.99926916221034,9
1072,Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1127000.0,7.0,99.99937888198758,9
1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1120000.0,10.49,99.99906339285715,6
1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,856000.0,3.95,99.99953855140188,11
1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,946000.0000000001,6.5,99.99931289640593,8
1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497 CC,115 bhp,5.0,1279000.0,7.25,99.99943315089914,13
1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0,1582 CC,126.2 bhp,5.0,1557000.0,6.01,99.99961400128453,11
1103,Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179 CC,153.86 bhp,7.0,1986000.0,12.0,99.99939577039275,8
1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199 CC,84 bhp,5.0,659000.0,5.88,99.99910773899849,7
1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950 CC,191.34 bhp,5.0,8697000.0,51.35,99.9994095665172,7
1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,5.0,4212000.0,22.0,99.999477682811,11
1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,654000.0,5.0,99.99923547400613,8
1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2656000.0,19.75,99.9992564006024,9
1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461 CC,108.45 bhp,5.0,1505000.0,11.44,99.99923986710964,8
1146,Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523 CC,62.1 bhp,7.0,1101000.0,3.5,99.99968210717529,9
1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1100000.0,10.46,99.9990490909091,7
1149,Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199 CC,88.76 bhp,5.0,755000.0,5.68,99.99924768211919,9
1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,782000.0,5.98,99.99923529411765,8
1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,632000.0,4.77,99.99924525316456,7
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591 CC,121.3 bhp,5.0,1514000.0,7.2,99.99952443857332,10
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582 CC,126.2 bhp,5.0,1572000.0,5.9,99.99962468193385,12
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969 CC,190 bhp,5.0,4567000.0,25.0,99.99945259470113,10
